[22 set 22:52:19] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +1 Dynasty Circlet(1) [268483963], Blessed Scroll: Enchant Armor (S-Grade)(499) [268484517]
[22 set 22:54:12] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +1 Dynasty Shoes - Robe(1) [268483965], Blessed Scroll: Enchant Armor (S-Grade)(479) [268484517]
[22 set 22:54:13] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +1 Dynasty Leather Leggings(1) [268484008], Blessed Scroll: Enchant Armor (S-Grade)(14) [268484528]
[22 set 22:54:17] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +2 Dynasty Shoes - Robe(1) [268483965], Blessed Scroll: Enchant Armor (S-Grade)(478) [268484517]
[22 set 22:54:19] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +2 Dynasty Leather Leggings(1) [268484008], Blessed Scroll: Enchant Armor (S-Grade)(13) [268484528]
[22 set 22:54:21] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +3 Dynasty Shoes - Robe(1) [268483965], Blessed Scroll: Enchant Armor (S-Grade)(477) [268484517]
[22 set 22:54:24] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +3 Dynasty Leather Leggings(1) [268484008], Blessed Scroll: Enchant Armor (S-Grade)(12) [268484528]
[22 set 22:54:27] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +1 Dynasty Stockings(1) [268483966], Blessed Scroll: Enchant Armor (S-Grade)(476) [268484517]
[22 set 22:54:30] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +1 Dynasty Leather Gloves - Light Armor(1) [268484011], Blessed Scroll: Enchant Armor (S-Grade)(11) [268484528]
[22 set 22:54:30] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +2 Dynasty Stockings(1) [268483966], Blessed Scroll: Enchant Armor (S-Grade)(475) [268484517]
[22 set 22:54:34] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +3 Dynasty Stockings(1) [268483966], Blessed Scroll: Enchant Armor (S-Grade)(474) [268484517]
[22 set 22:54:38] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +2 Dynasty Leather Gloves - Light Armor(1) [268484011], Blessed Scroll: Enchant Armor (S-Grade)(10) [268484528]
[22 set 22:54:38] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +1 Dynasty Silver Satin Tunic {PvP} - Summoner(1) [268483962], Blessed Scroll: Enchant Armor (S-Grade)(473) [268484517]
[22 set 22:54:41] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +2 Dynasty Silver Satin Tunic {PvP} - Summoner(1) [268483962], Blessed Scroll: Enchant Armor (S-Grade)(472) [268484517]
[22 set 22:54:43] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +3 Dynasty Leather Gloves - Light Armor(1) [268484011], Blessed Scroll: Enchant Armor (S-Grade)(9) [268484528]
[22 set 22:54:45] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +3 Dynasty Silver Satin Tunic {PvP} - Summoner(1) [268483962], Blessed Scroll: Enchant Armor (S-Grade)(471) [268484517]
[22 set 22:54:48] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +1 Dynasty Leather Boots - Light Armor(1) [268484015], Blessed Scroll: Enchant Armor (S-Grade)(8) [268484528]
[22 set 22:54:52] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +1 Kratei Striped Mithril Shirt - CP(1) [268484418], Blessed Scroll: Enchant Armor (S-Grade)(470) [268484517]
[22 set 22:54:54] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +2 Dynasty Leather Boots - Light Armor(1) [268484015], Blessed Scroll: Enchant Armor (S-Grade)(7) [268484528]
[22 set 22:54:57] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +2 Kratei Striped Mithril Shirt - CP(1) [268484418], Blessed Scroll: Enchant Armor (S-Grade)(469) [268484517]
[22 set 22:55:00] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +3 Dynasty Leather Boots - Light Armor(1) [268484015], Blessed Scroll: Enchant Armor (S-Grade)(6) [268484528]
[22 set 22:55:01] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +3 Kratei Striped Mithril Shirt - CP(1) [268484418], Blessed Scroll: Enchant Armor (S-Grade)(468) [268484517]
[22 set 22:55:05] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +1 Top-grade Magic Ornament Mithril Belt - PVP Defense(1) [268484411], Blessed Scroll: Enchant Armor (S-Grade)(467) [268484517]
[22 set 22:55:09] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +1 Kratei Striped Mithril Shirt - CP(1) [268484032], Blessed Scroll: Enchant Armor (S-Grade)(5) [268484528]
[22 set 22:55:10] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +2 Top-grade Magic Ornament Mithril Belt - PVP Defense(1) [268484411], Blessed Scroll: Enchant Armor (S-Grade)(466) [268484517]
[22 set 22:55:14] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +2 Kratei Striped Mithril Shirt - CP(1) [268484032], Blessed Scroll: Enchant Armor (S-Grade)(4) [268484528]
[22 set 22:55:15] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +3 Top-grade Magic Ornament Mithril Belt - PVP Defense(1) [268484411], Blessed Scroll: Enchant Armor (S-Grade)(465) [268484517]
[22 set 22:55:20] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +3 Kratei Striped Mithril Shirt - CP(1) [268484032], Blessed Scroll: Enchant Armor (S-Grade)(3) [268484528]
[22 set 22:55:21] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +1 Dynasty Phantom - Acumen(1) [268483937], Blessed Scroll: Enchant Weapon (S-Grade)(499) [268484518]
[22 set 22:55:25] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +2 Dynasty Phantom - Acumen(1) [268483937], Blessed Scroll: Enchant Weapon (S-Grade)(498) [268484518]
[22 set 22:55:27] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +1 Top-grade Magic Ornament Mithril Belt - PvP Skill Attack(1) [268484045], Blessed Scroll: Enchant Armor (S-Grade)(2) [268484528]
[22 set 22:55:28] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +3 Dynasty Phantom - Acumen(1) [268483937], Blessed Scroll: Enchant Weapon (S-Grade)(497) [268484518]
[22 set 22:55:31] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +2 Top-grade Magic Ornament Mithril Belt - PvP Skill Attack(1) [268484045], Blessed Scroll: Enchant Armor (S-Grade)(1) [268484528]
[22 set 22:55:33] Blessed Fail, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, Dynasty Phantom - Acumen(1) [268483937], Blessed Scroll: Enchant Weapon (S-Grade)(496) [268484518]
[22 set 22:55:38] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +3 Top-grade Magic Ornament Mithril Belt - PvP Skill Attack(1) [268484045], Blessed Scroll: Enchant Armor (S-Grade)(0) [268484528]
[22 set 22:55:40] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +1 Dynasty Phantom - Acumen(1) [268483937], Blessed Scroll: Enchant Weapon (S-Grade)(495) [268484518]
[22 set 22:55:44] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +2 Dynasty Phantom - Acumen(1) [268483937], Blessed Scroll: Enchant Weapon (S-Grade)(494) [268484518]
[22 set 22:55:48] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +3 Dynasty Phantom - Acumen(1) [268483937], Blessed Scroll: Enchant Weapon (S-Grade)(493) [268484518]
[22 set 22:55:52] Blessed Fail, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, Dynasty Phantom - Acumen(1) [268483937], Blessed Scroll: Enchant Weapon (S-Grade)(492) [268484518]
[22 set 22:55:59] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +1 Dynasty Phantom - Acumen(1) [268483937], Blessed Scroll: Enchant Weapon (S-Grade)(491) [268484518]
[22 set 22:56:03] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +2 Dynasty Phantom - Acumen(1) [268483937], Blessed Scroll: Enchant Weapon (S-Grade)(490) [268484518]
[22 set 22:56:06] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +3 Dynasty Phantom - Acumen(1) [268483937], Blessed Scroll: Enchant Weapon (S-Grade)(489) [268484518]
[22 set 22:56:10] Blessed Fail, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, Dynasty Phantom - Acumen(1) [268483937], Blessed Scroll: Enchant Weapon (S-Grade)(488) [268484518]
[22 set 22:56:15] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +1 Dynasty Phantom - Acumen(1) [268483937], Blessed Scroll: Enchant Weapon (S-Grade)(487) [268484518]
[22 set 22:56:16] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +1 Improved Ring of Queen Ant(1) [268484028], Blessed Scroll: Enchant Armor (B-Grade)(2) [268484564]
[22 set 22:56:19] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +2 Dynasty Phantom - Acumen(1) [268483937], Blessed Scroll: Enchant Weapon (S-Grade)(486) [268484518]
[22 set 22:56:22] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +3 Dynasty Phantom - Acumen(1) [268483937], Blessed Scroll: Enchant Weapon (S-Grade)(485) [268484518]
[22 set 22:56:23] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +2 Improved Ring of Queen Ant(1) [268484028], Blessed Scroll: Enchant Armor (B-Grade)(1) [268484564]
[22 set 22:56:29] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +3 Improved Ring of Queen Ant(1) [268484028], Blessed Scroll: Enchant Armor (B-Grade)(0) [268484564]
[22 set 22:56:35] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +1 Necklace of Frintezza(1) [268484029], Blessed Scroll: Enchant Armor (A-Grade)(2) [268484563]
[22 set 22:56:41] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +2 Necklace of Frintezza(1) [268484029], Blessed Scroll: Enchant Armor (A-Grade)(1) [268484563]
[22 set 22:56:46] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +3 Necklace of Frintezza(1) [268484029], Blessed Scroll: Enchant Armor (A-Grade)(0) [268484563]
[22 set 22:56:52] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +1 Earring of Antharas(1) [268484026], Blessed Scroll: Enchant Armor (S-Grade)(8) [268484562]
[22 set 22:56:57] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +2 Earring of Antharas(1) [268484026], Blessed Scroll: Enchant Armor (S-Grade)(7) [268484562]
[22 set 22:57:03] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +3 Earring of Antharas(1) [268484026], Blessed Scroll: Enchant Armor (S-Grade)(6) [268484562]
[22 set 22:57:08] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +1 Improved Blessed Earring of Zaken(1) [268484025], Blessed Scroll: Enchant Armor (S-Grade)(5) [268484562]
[22 set 22:57:13] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +2 Improved Blessed Earring of Zaken(1) [268484025], Blessed Scroll: Enchant Armor (S-Grade)(4) [268484562]
[22 set 22:57:19] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +3 Improved Blessed Earring of Zaken(1) [268484025], Blessed Scroll: Enchant Armor (S-Grade)(3) [268484562]
[22 set 22:57:24] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +1 Improved Ring of Baium(1) [268484027], Blessed Scroll: Enchant Armor (S-Grade)(2) [268484562]
[22 set 22:57:30] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +2 Improved Ring of Baium(1) [268484027], Blessed Scroll: Enchant Armor (S-Grade)(1) [268484562]
[22 set 22:57:35] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +3 Improved Ring of Baium(1) [268484027], Blessed Scroll: Enchant Armor (S-Grade)(0) [268484562]
