[19 set 16:02:04] AUDIT:Player CopyLeft has invalid skill Triple Slash (1/37), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Detect Insect Weakness (75/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Attack Aura (77/2), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill War Cry (78/2), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Detect Beast Weakness (80/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Detect Animal Weakness (87/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Detect Dragon Weakness (88/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Defense Aura (91/2), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Bleed (96/6), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Rapid Shot (99/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Stun Shot (101/3), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Detect Plant Weakness (104/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Freezing Strike (105/24), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Veil (106/14), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Ultimate Evasion (111/2), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Long Shot (113/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Power Break (115/17), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Battle Roar (121/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Hex (122/15), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Dual Weapon Mastery (144/37), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Quick Step (169/2), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Esprit (171/8), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Acrobatics (173/2), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Critical Power (193/7), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Breath Boost (195/2), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Boost Evasion (198/3), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Bow Mastery (208/15), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Dagger Mastery (209/45), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Silent Move (221/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Sting (223/49), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Acrobatic Move (225/3), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Relax (226/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Light Armor Mastery (233/47), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:06] AUDIT:Player CopyLeft has invalid skill Power Smash (255/15), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:07] AUDIT:Player CopyLeft has invalid skill Sword/Blunt Weapon Mastery (257/45), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:07] AUDIT:Player CopyLeft has invalid skill Triple Sonic Slash (261/22), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:07] AUDIT:Player CopyLeft has invalid skill Deadly Blow (263/37), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:07] AUDIT:Player CopyLeft has invalid skill Lionheart (287/3), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:07] AUDIT:Player CopyLeft has invalid skill Final Frenzy (290/14), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:07] AUDIT:Player CopyLeft has invalid skill Shadow Sense (294/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:07] AUDIT:Player CopyLeft has invalid skill Duelist Spirit (297/2), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:07] AUDIT:Player CopyLeft has invalid skill Vicious Stance (312/20), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:07] AUDIT:Player CopyLeft has invalid skill Blinding Blow (321/10), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:07] AUDIT:Player CopyLeft has invalid skill Focus Skill Mastery (334/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:07] AUDIT:Player CopyLeft has invalid skill Lethal Blow (344/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:07] AUDIT:Player CopyLeft has invalid skill Sonic Rage (345/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:07] AUDIT:Player CopyLeft has invalid skill Focus Death (355/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:07] AUDIT:Player CopyLeft has invalid skill Focus Power (357/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Bluff (358/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Eye of Hunter (359/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Eye of Slayer (360/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Mortal Strike (410/3), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Sand Bomb (412/10), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Summon Treasure Key (419/4), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Assassination (432/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Sonic Barrier (442/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Counterattack (447/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Sonic Move (451/2), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Escape Shackle (453/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Symbol of Energy (458/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Symbol of the Assassin (460/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Critical Wound (531/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Find Trap (623/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:08] AUDIT:Player CopyLeft has invalid skill Remove Trap (624/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:09] AUDIT:Player CopyLeft has invalid skill Sixth Sense (766/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:09] AUDIT:Player CopyLeft has invalid skill Ghost Walking (770/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:09] AUDIT:Player CopyLeft has invalid skill Weapon Blockade (775/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:09] AUDIT:Player CopyLeft has invalid skill Evasion Counter (818/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:09] AUDIT:Player CopyLeft has invalid skill Shadow Step (821/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:09] AUDIT:Player CopyLeft has invalid skill Maximum Focus Sonic (919/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:09] AUDIT:Player CopyLeft has invalid skill Hide (922/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:09] AUDIT:Player CopyLeft has invalid skill Dual Dagger Mastery (923/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:09] AUDIT:Player CopyLeft has invalid skill Dual Blow (928/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:09] AUDIT:Player CopyLeft has invalid skill Throwing Dagger (991/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:09] AUDIT:Player CopyLeft has invalid skill Sonic Mastery (992/8), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:09] AUDIT:Player CopyLeft has invalid skill Summon Siege Golem (13/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:09] AUDIT:Player CopyLeft has invalid skill Summon Mechanic Golem (25/9), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:09] AUDIT:Player CopyLeft has invalid skill Bandage (34/3), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:09] AUDIT:Player CopyLeft has invalid skill Whirlwind (36/37), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:09] AUDIT:Player CopyLeft has invalid skill Sweeper (42/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:09] AUDIT:Player CopyLeft has invalid skill Stun Attack (100/15), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:09] AUDIT:Player CopyLeft has invalid skill Weapon Mastery (141/3), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:10] AUDIT:Player CopyLeft has invalid skill Armor Mastery (142/5), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:10] AUDIT:Player CopyLeft has invalid skill Vital Force (148/8), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:10] AUDIT:Player CopyLeft has invalid skill Weight Limit (150/3), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:10] AUDIT:Player CopyLeft has invalid skill Create Item (172/10), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:10] AUDIT:Player CopyLeft has invalid skill Fatal Strike (190/37), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:10] AUDIT:Player CopyLeft has invalid skill Sword/Blunt Weapon Mastery (205/45), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:10] AUDIT:Player CopyLeft has invalid skill Boost HP (211/10), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:10] AUDIT:Player CopyLeft has invalid skill Fast HP Recovery (212/8), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:10] AUDIT:Player CopyLeft has invalid skill Polearm Mastery (216/45), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:10] AUDIT:Player CopyLeft has invalid skill Light Armor Mastery (227/50), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:10] AUDIT:Player CopyLeft has invalid skill Heavy Armor Mastery (231/50), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:10] AUDIT:Player CopyLeft has invalid skill Wild Sweep (245/15), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:10] AUDIT:Player CopyLeft has invalid skill Crystallize (248/5), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:10] AUDIT:Player CopyLeft has invalid skill Spoil (254/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:10] AUDIT:Player CopyLeft has invalid skill Hammer Crush (260/37), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill Summon Wild Hog Cannon (299/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill Summon Big Boom (301/5), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill Wrath (320/10), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill Parry Stance (339/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill Riposte Stance (340/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill Earthquake (347/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill Armor Crush (362/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill Polearm Accuracy (422/3), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill War Frenzy (424/3), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill Master of Combat (430/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill Braveheart (440/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill Summon Swoop Cannon (448/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill Symbol of Honor (457/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill Golem Armor (778/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill Repair Golem (822/3), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:11] AUDIT:Player CopyLeft has invalid skill Strengthen Golem (823/3), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:12] AUDIT:Player CopyLeft has invalid skill Golem Reinforcement (824/3), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:12] AUDIT:Player CopyLeft has invalid skill Sharp Edge (825/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:12] AUDIT:Player CopyLeft has invalid skill Spike (826/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:12] AUDIT:Player CopyLeft has invalid skill Restring (827/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:12] AUDIT:Player CopyLeft has invalid skill Case Harden (828/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:12] AUDIT:Player CopyLeft has invalid skill Hard Tanning (829/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:12] AUDIT:Player CopyLeft has invalid skill Embroider (830/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:12] AUDIT:Player CopyLeft has invalid skill Summon Merchant Golem (831/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:12] AUDIT:Player CopyLeft has invalid skill Final Secret (917/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:12] AUDIT:Player CopyLeft has invalid skill Rush (994/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:12] AUDIT:Player CopyLeft has invalid skill Rush Impact (995/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:12] AUDIT:Player CopyLeft has invalid skill Dwarven Craft (1321/1), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 22:54:12] AUDIT:Player CopyLeft has invalid skill Battle Cry (1561/5), class:Male Soul Hound, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 23:35:38] AUDIT:Player iJackson has invalid skill Whirlwind (36/37), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:38] AUDIT:Player iJackson has invalid skill Thunder Storm (48/37), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:38] AUDIT:Player iJackson has invalid skill Detect Insect Weakness (75/1), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:38] AUDIT:Player iJackson has invalid skill War Cry (78/1), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:38] AUDIT:Player iJackson has invalid skill Detect Beast Weakness (80/1), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:38] AUDIT:Player iJackson has invalid skill Detect Animal Weakness (87/1), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:38] AUDIT:Player iJackson has invalid skill Detect Dragon Weakness (88/1), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:38] AUDIT:Player iJackson has invalid skill Stun Attack (100/15), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:38] AUDIT:Player iJackson has invalid skill Detect Plant Weakness (104/1), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:38] AUDIT:Player iJackson has invalid skill Howl (116/14), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:38] AUDIT:Player iJackson has invalid skill Battle Roar (121/6), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:38] AUDIT:Player iJackson has invalid skill Thrill Fight (130/2), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:39] AUDIT:Player iJackson has invalid skill Vital Force (148/2), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:39] AUDIT:Player iJackson has invalid skill Revival (181/1), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:39] AUDIT:Player iJackson has invalid skill Boost HP (211/10), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:39] AUDIT:Player iJackson has invalid skill Fast HP Recovery (212/8), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:40] AUDIT:Player iJackson has invalid skill Polearm Mastery (216/45), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:40] AUDIT:Player iJackson has invalid skill Relax (226/1), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:40] AUDIT:Player iJackson has invalid skill Light Armor Mastery (227/50), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:40] AUDIT:Player iJackson has invalid skill Heavy Armor Mastery (231/50), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:41] AUDIT:Player iJackson has invalid skill Wild Sweep (245/15), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:41] AUDIT:Player iJackson has invalid skill Power Smash (255/15), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:41] AUDIT:Player iJackson has invalid skill Sword/Blunt Weapon Mastery (257/8), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:41] AUDIT:Player iJackson has invalid skill Provoke (286/3), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:41] AUDIT:Player iJackson has invalid skill Lionheart (287/3), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:41] AUDIT:Player iJackson has invalid skill Final Frenzy (290/14), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:42] AUDIT:Player iJackson has invalid skill Vicious Stance (312/20), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:42] AUDIT:Player iJackson has invalid skill Focus Attack (317/5), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:42] AUDIT:Player iJackson has invalid skill Wrath (320/10), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:42] AUDIT:Player iJackson has invalid skill Fell Swoop (421/5), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:42] AUDIT:Player iJackson has invalid skill Polearm Accuracy (422/3), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:44] AUDIT:Player iJackson has invalid skill War Frenzy (424/3), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:44] AUDIT:Player iJackson has invalid skill Shock Stomp (452/5), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:44] AUDIT:Player iJackson has invalid skill Power Crush (920/37), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[19 set 23:35:44] AUDIT:Player iJackson has invalid skill Rush (994/1), class:Shillien Templar, L2PcInstance:iJackson[268482624], BROADCAST
[20 set 9:36:54] AUDIT:Player CopyLeft has invalid skill Power Strike (3/9), class:Doombringer, L2PcInstance:CopyLeft[268481265], BROADCAST
[20 set 9:36:54] AUDIT:Player CopyLeft has invalid skill Dash (4/1), class:Doombringer, L2PcInstance:CopyLeft[268481265], BROADCAST
[20 set 9:36:54] AUDIT:Player CopyLeft has invalid skill Mortal Blow (16/24), class:Doombringer, L2PcInstance:CopyLeft[268481265], BROADCAST
[20 set 9:36:54] AUDIT:Player CopyLeft has invalid skill Double Shot (19/37), class:Doombringer, L2PcInstance:CopyLeft[268481265], BROADCAST
[20 set 9:36:54] AUDIT:Player CopyLeft has invalid skill Burst Shot (24/31), class:Doombringer, L2PcInstance:CopyLeft[268481265], BROADCAST
[20 set 9:36:54] AUDIT:Player CopyLeft has invalid skill Unlock (27/5), class:Doombringer, L2PcInstance:CopyLeft[268481265], BROADCAST
